"","state","total_cases","total_cases_perc","total_deaths","total_deaths_perc","population"
"1","Alabama",1648385,0.33618658076332,21631,0.00441162224146142,4903185
"2","Alaska",308893,0.422247435222714,1438,0.00196570272505451,731545
"3","Arizona",2451062,0.336743687108593,33190,0.00455986954843828,7278717
"4","Arkansas",1008303,0.334118120328557,13068,0.00433030110636741,3017804
"5","California",12169158,0.307984645662685,104277,0.00263910739722237,39512223
"6","Colorado",1771010,0.307534500626526,14245,0.00247363310281979,5758736
"7","Connecticut",978456,0.274439617343569,12270,0.00344151817230983,3565287
"8","Delaware",332861,0.341829231723498,3352,0.00344231251103964,973764
"9","District Of Columbia",178226,0.252534541317097,1432,0.0020290499880269,705749
"10","Florida",7542869,0.351194774384285,87141,0.00405727102441007,21477737
"11","Georgia",2984923,0.281134414631498,41055,0.00386675749850034,10617423
"12","Hawaii",372408,0.263023776160557,1851,0.00130732156579126,1415872
"13","Idaho",522919,0.292613307294363,5456,0.00305305067247134,1787065
"14","Illinois",4107931,0.324178427078476,41618,0.00328429513011587,12671821
"15","Indiana",2054533,0.30517916900802,26179,0.00388861384337022,6732219
"16","Iowa",907421,0.287607248016684,10770,0.00341355342353735,3155070
"17","Kansas",940815,0.322936353582209,10232,0.00351215145363665,2913314
"18","Kentucky",1723443,0.385758536938581,18348,0.00410683593002442,4467673
"19","Louisiana",1580709,0.340025606641206,18835,0.00405158843347328,4648794
"20","Maine",319997,0.238055455538263,2981,0.00221765614352498,1344212
"21","Maryland",1369930,0.226596511889481,16672,0.00275767159360072,6045680
"22","Massachusetts",2230150,0.323561701750438,24441,0.00354602674819293,6892503
"23","Michigan",3068195,0.307223283561585,42311,0.00423666825308503,9986857
"24","Minnesota",1784263,0.316379331133663,14964,0.00265336461669839,5639632
"25","Mississippi",993035,0.333664409947217,13431,0.00451287889148023,2976149
"26","Missouri",1794207,0.292338582220435,23998,0.00391010696989032,6137428
"27","Montana",330875,0.309582532574585,3701,0.00346283325442702,1068778
"28","Nebraska",570835,0.295095450391024,5068,0.00261992299452856,1934408
"29","Nevada",892814,0.289859994104195,12093,0.00392609984689087,3080156
"30","New Hampshire",379689,0.279242427251085,3018,0.00221958930978715,1359711
"31","New Jersey",3057442,0.344221639032716,36097,0.00406397521332014,8882190
"32","New Mexico",673541,0.32121884998729,9110,0.00434465566815415,2096829
"33","New York",6805271,0.349821351473902,80109,0.00411796071680655,19453561
"34","North Carolina",3481732,0.331970262633289,29746,0.00283617102990403,10488084
"35","North Dakota",288106,0.378061102639943,2529,0.00331862761822529,762062
"36","Ohio",3415254,0.292174247803509,42061,0.00359830953623461,11689100
"37","Oklahoma",1295832,0.327480792757895,16549,0.00418223939472895,3956971
"38","Oregon",967156,0.229306853414521,9451,0.00224077508863165,4217737
"39","Pennsylvania",3539135,0.276451963831558,50701,0.0039604002159352,12801989
"40","Puerto Rico",1139243,0.356716391739472,5848,0.00183110842804602,3193694
"41","Rhode Island",461788,0.435911837418972,3915,0.00369562406016457,1059361
"42","South Carolina",1840458,0.357459746258969,20192,0.00392175599576904,5148714
"43","South Dakota",280525,0.317099583003168,3222,0.00364208129912203,884659
"44","Tennessee",2459152,0.360095086170011,29035,0.00425161227404661,6829174
"45","Texas",8447168,0.291323033088734,94518,0.00325970436973445,28995881
"46","Utah",1093049,0.340943019216097,5316,0.00165816270830747,3205958
"47","Vermont",153198,0.245513943354771,939,0.001504834219834,623989
"48","Virginia",2298300,0.269263064144078,23782,0.00278623947764629,8535519
"49","Washington",1940704,0.254856371586574,15905,0.00208867018879976,7614893
"50","West Virginia",645710,0.360299685237874,8132,0.00453757420568737,1792147
"51","Wisconsin",2014524,0.345993445352923,16485,0.00283129014429361,5822434
"52","Wyoming",185800,0.321031724776634,2014,0.00347985949246578,578759
