"","date","county","state","fips","cases","deaths"
"1",2020-02-28,"Washington","Oregon","41067",1,0
"2",2020-02-29,"Washington","Oregon","41067",1,0
"3",2020-03-01,"Washington","Oregon","41067",2,0
"4",2020-03-02,"Washington","Oregon","41067",2,0
"5",2020-03-03,"Washington","Oregon","41067",2,0
"6",2020-03-04,"Washington","Oregon","41067",2,0
"7",2020-03-05,"Washington","Oregon","41067",2,0
"8",2020-03-06,"Washington","Oregon","41067",2,0
"9",2020-03-07,"Jackson","Oregon","41029",2,0
"10",2020-03-07,"Klamath","Oregon","41035",1,0
"11",2020-03-07,"Washington","Oregon","41067",3,0
"12",2020-03-08,"Douglas","Oregon","41019",1,0
"13",2020-03-08,"Jackson","Oregon","41029",2,0
"14",2020-03-08,"Klamath","Oregon","41035",1,0
"15",2020-03-08,"Marion","Oregon","41047",1,0
"16",2020-03-08,"Washington","Oregon","41067",8,0
"17",2020-03-09,"Douglas","Oregon","41019",1,0
"18",2020-03-09,"Jackson","Oregon","41029",2,0
"19",2020-03-09,"Klamath","Oregon","41035",1,0
"20",2020-03-09,"Marion","Oregon","41047",1,0
"21",2020-03-09,"Washington","Oregon","41067",8,0
"22",2020-03-10,"Douglas","Oregon","41019",1,0
"23",2020-03-10,"Jackson","Oregon","41029",2,0
"24",2020-03-10,"Klamath","Oregon","41035",1,0
"25",2020-03-10,"Marion","Oregon","41047",1,0
"26",2020-03-10,"Multnomah","Oregon","41051",1,0
"27",2020-03-10,"Washington","Oregon","41067",8,0
"28",2020-03-11,"Deschutes","Oregon","41017",1,0
"29",2020-03-11,"Douglas","Oregon","41019",1,0
"30",2020-03-11,"Jackson","Oregon","41029",2,0
"31",2020-03-11,"Klamath","Oregon","41035",1,0
"32",2020-03-11,"Linn","Oregon","41043",2,0
"33",2020-03-11,"Marion","Oregon","41047",2,0
"34",2020-03-11,"Multnomah","Oregon","41051",1,0
"35",2020-03-11,"Polk","Oregon","41053",1,0
"36",2020-03-11,"Umatilla","Oregon","41059",1,0
"37",2020-03-11,"Washington","Oregon","41067",8,0
"38",2020-03-12,"Clackamas","Oregon","41005",1,0
"39",2020-03-12,"Deschutes","Oregon","41017",1,0
"40",2020-03-12,"Douglas","Oregon","41019",1,0
"41",2020-03-12,"Jackson","Oregon","41029",2,0
"42",2020-03-12,"Klamath","Oregon","41035",1,0
"43",2020-03-12,"Linn","Oregon","41043",8,0
"44",2020-03-12,"Marion","Oregon","41047",2,0
"45",2020-03-12,"Multnomah","Oregon","41051",1,0
"46",2020-03-12,"Polk","Oregon","41053",1,0
"47",2020-03-12,"Umatilla","Oregon","41059",2,0
"48",2020-03-12,"Washington","Oregon","41067",10,0
"49",2020-03-13,"Clackamas","Oregon","41005",1,0
"50",2020-03-13,"Deschutes","Oregon","41017",1,0
"51",2020-03-13,"Douglas","Oregon","41019",1,0
"52",2020-03-13,"Jackson","Oregon","41029",2,0
"53",2020-03-13,"Klamath","Oregon","41035",1,0
"54",2020-03-13,"Linn","Oregon","41043",8,0
"55",2020-03-13,"Marion","Oregon","41047",2,0
"56",2020-03-13,"Multnomah","Oregon","41051",1,0
"57",2020-03-13,"Polk","Oregon","41053",1,0
"58",2020-03-13,"Umatilla","Oregon","41059",2,0
"59",2020-03-13,"Washington","Oregon","41067",10,0
"60",2020-03-14,"Clackamas","Oregon","41005",1,0
"61",2020-03-14,"Deschutes","Oregon","41017",3,0
"62",2020-03-14,"Douglas","Oregon","41019",1,0
"63",2020-03-14,"Jackson","Oregon","41029",2,0
"64",2020-03-14,"Klamath","Oregon","41035",1,0
"65",2020-03-14,"Linn","Oregon","41043",9,0
"66",2020-03-14,"Marion","Oregon","41047",2,0
"67",2020-03-14,"Multnomah","Oregon","41051",1,1
"68",2020-03-14,"Polk","Oregon","41053",1,0
"69",2020-03-14,"Umatilla","Oregon","41059",2,0
"70",2020-03-14,"Washington","Oregon","41067",13,0
"71",2020-03-15,"Clackamas","Oregon","41005",1,0
"72",2020-03-15,"Deschutes","Oregon","41017",4,0
"73",2020-03-15,"Douglas","Oregon","41019",1,0
"74",2020-03-15,"Jackson","Oregon","41029",2,0
"75",2020-03-15,"Klamath","Oregon","41035",1,0
"76",2020-03-15,"Linn","Oregon","41043",10,0
"77",2020-03-15,"Marion","Oregon","41047",2,0
"78",2020-03-15,"Multnomah","Oregon","41051",1,1
"79",2020-03-15,"Polk","Oregon","41053",1,0
"80",2020-03-15,"Umatilla","Oregon","41059",2,0
"81",2020-03-15,"Washington","Oregon","41067",13,0
"82",2020-03-15,"Yamhill","Oregon","41071",1,0
"83",2020-03-16,"Benton","Oregon","41003",1,0
"84",2020-03-16,"Clackamas","Oregon","41005",2,0
"85",2020-03-16,"Deschutes","Oregon","41017",6,0
"86",2020-03-16,"Douglas","Oregon","41019",1,0
"87",2020-03-16,"Jackson","Oregon","41029",2,0
"88",2020-03-16,"Klamath","Oregon","41035",1,0
"89",2020-03-16,"Linn","Oregon","41043",10,0
"90",2020-03-16,"Marion","Oregon","41047",3,0
"91",2020-03-16,"Multnomah","Oregon","41051",2,1
"92",2020-03-16,"Polk","Oregon","41053",1,0
"93",2020-03-16,"Umatilla","Oregon","41059",2,0
"94",2020-03-16,"Washington","Oregon","41067",14,0
"95",2020-03-16,"Yamhill","Oregon","41071",1,0
"96",2020-03-17,"Benton","Oregon","41003",1,0
"97",2020-03-17,"Clackamas","Oregon","41005",6,0
"98",2020-03-17,"Deschutes","Oregon","41017",6,0
"99",2020-03-17,"Douglas","Oregon","41019",1,0
"100",2020-03-17,"Jackson","Oregon","41029",2,0
"101",2020-03-17,"Klamath","Oregon","41035",1,0
"102",2020-03-17,"Lane","Oregon","41039",2,1
"103",2020-03-17,"Linn","Oregon","41043",15,0
"104",2020-03-17,"Marion","Oregon","41047",4,0
"105",2020-03-17,"Multnomah","Oregon","41051",3,1
"106",2020-03-17,"Polk","Oregon","41053",1,0
"107",2020-03-17,"Umatilla","Oregon","41059",2,0
"108",2020-03-17,"Washington","Oregon","41067",21,0
"109",2020-03-17,"Yamhill","Oregon","41071",1,0
"110",2020-03-18,"Benton","Oregon","41003",2,0
"111",2020-03-18,"Clackamas","Oregon","41005",6,0
"112",2020-03-18,"Deschutes","Oregon","41017",6,0
"113",2020-03-18,"Douglas","Oregon","41019",1,0
"114",2020-03-18,"Jackson","Oregon","41029",2,0
"115",2020-03-18,"Klamath","Oregon","41035",1,0
"116",2020-03-18,"Lane","Oregon","41039",2,1
"117",2020-03-18,"Linn","Oregon","41043",15,0
"118",2020-03-18,"Marion","Oregon","41047",8,0
"119",2020-03-18,"Multnomah","Oregon","41051",3,1
"120",2020-03-18,"Polk","Oregon","41053",1,0
"121",2020-03-18,"Umatilla","Oregon","41059",2,0
"122",2020-03-18,"Washington","Oregon","41067",23,1
"123",2020-03-18,"Yamhill","Oregon","41071",2,0
"124",2020-03-19,"Benton","Oregon","41003",2,0
"125",2020-03-19,"Clackamas","Oregon","41005",6,0
"126",2020-03-19,"Deschutes","Oregon","41017",6,0
"127",2020-03-19,"Douglas","Oregon","41019",1,0
"128",2020-03-19,"Jackson","Oregon","41029",2,0
"129",2020-03-19,"Klamath","Oregon","41035",1,0
"130",2020-03-19,"Lane","Oregon","41039",2,1
"131",2020-03-19,"Linn","Oregon","41043",17,0
"132",2020-03-19,"Marion","Oregon","41047",13,0
"133",2020-03-19,"Multnomah","Oregon","41051",7,1
"134",2020-03-19,"Polk","Oregon","41053",1,0
"135",2020-03-19,"Umatilla","Oregon","41059",2,0
"136",2020-03-19,"Washington","Oregon","41067",25,1
"137",2020-03-19,"Yamhill","Oregon","41071",2,0
"138",2020-03-20,"Benton","Oregon","41003",2,0
"139",2020-03-20,"Clackamas","Oregon","41005",10,0
"140",2020-03-20,"Deschutes","Oregon","41017",8,0
"141",2020-03-20,"Douglas","Oregon","41019",1,0
"142",2020-03-20,"Grant","Oregon","41023",1,0
"143",2020-03-20,"Jackson","Oregon","41029",2,0
"144",2020-03-20,"Klamath","Oregon","41035",1,0
"145",2020-03-20,"Lane","Oregon","41039",2,1
"146",2020-03-20,"Linn","Oregon","41043",19,0
"147",2020-03-20,"Marion","Oregon","41047",17,0
