"","county","GEOID","variable","population"
"1","Lane County, Oregon","41039","POP",382067
"2","Washington County, Oregon","41067","POP",601592
"3","Clatsop County, Oregon","41007","POP",40224
"4","Jackson County, Oregon","41029","POP",220944
"5","Grant County, Oregon","41023","POP",7199
"6","Clackamas County, Oregon","41005","POP",418187
"7","Tillamook County, Oregon","41057","POP",27036
"8","Josephine County, Oregon","41033","POP",87487
"9","Umatilla County, Oregon","41059","POP",77950
"10","Columbia County, Oregon","41009","POP",52354
"11","Wasco County, Oregon","41065","POP",26682
"12","Union County, Oregon","41061","POP",26835
"13","Marion County, Oregon","41047","POP",347818
"14","Douglas County, Oregon","41019","POP",110980
"15","Jefferson County, Oregon","41031","POP",24658
"16","Polk County, Oregon","41053","POP",86085
"17","Deschutes County, Oregon","41017","POP",197692
"18","Linn County, Oregon","41043","POP",129749
"19","Yamhill County, Oregon","41071","POP",107100
"20","Baker County, Oregon","41001","POP",16124
"21","Klamath County, Oregon","41035","POP",68238
"22","Lincoln County, Oregon","41041","POP",49962
"23","Benton County, Oregon","41003","POP",93053
"24","Crook County, Oregon","41013","POP",24404
"25","Sherman County, Oregon","41055","POP",1780
"26","Harney County, Oregon","41025","POP",7393
"27","Malheur County, Oregon","41045","POP",30571
"28","Wallowa County, Oregon","41063","POP",7208
"29","Wheeler County, Oregon","41069","POP",1332
"30","Morrow County, Oregon","41049","POP",11603
"31","Coos County, Oregon","41011","POP",64487
"32","Curry County, Oregon","41015","POP",22925
"33","Gilliam County, Oregon","41021","POP",1912
"34","Hood River County, Oregon","41027","POP",23382
"35","Lake County, Oregon","41037","POP",7869
"36","Multnomah County, Oregon","41051","POP",812855
